wf_id,poly_Acres_AutoCalc,irwin_InitialLatitude,irwin_InitialLongitude,rain_acumm,mean,count
127,562.911767294885,36.07114,-121.4505,5.0,77.84857142857143,1.0
129,2.85069129790169,33.29384,-110.45,68.0,82.42571428571429,1.0
130,44.3003519242799,35.87582,-115.2041,0.0,84.28999999999999,3.0
139,100.415640980296,33.336,-110.4686,68.0,82.42571428571429,1.0
144,6.79716766753429,46.14511,-114.0459,94.0,69.43714285714286,2.0
150,51617.2199263135,40.14235,-123.0594,224.0,78.06428571428572,1.0
153,10141.7644498413,36.27003,-105.3278,91.0,66.28285714285714,2.0
159,26751.6780553972,38.64249,-119.5275,25.0,61.87428571428571,2.0
168,124.522933476464,41.03678,-107.5355,0.0,72.13142857142857,4.0
173,18.6683414521553,44.38801,-108.9772,23.0,89.65142857142857,7.0
186,5513.17060314031,37.023934,-121.513722,30.0,75.72714285714287,2.0
189,4119.19039813869,34.15672,-117.9107,15.0,76.42142857142858,2.0
191,13.2678587920568,32.64495,-111.3929,3.0,88.0076923076923,6.0
195,224.116736482769,37.02753,-91.23881,920.0,71.1557142857143,1.0
196,1.83905613593754,38.99669,-119.5408,0.0,70.69857142857143,1.0
197,44.8544624242996,36.09058,-115.0345,0.0,83.42857142857143,2.0
203,22.2329566328958,31.75981,-111.9623,74.0,84.34142857142857,3.0
207,88.9501632567346,33.84206,-112.3329,0.0,89.57428571428571,8.0
212,56.7983259081993,34.13575,-117.1915,0.0,72.05,1.0
216,4.63570077206419,29.05793,-81.83696,168.0,88.4557142857143,5.0
220,15.1835322096559,34.1334,-117.1833,0.0,72.05,1.0
221,7.82806431648211,38.59136,-82.5837,394.0,73.01285714285714,1.0
241,1.01220392947042,38.7946,-104.8999,318.0,62.14714285714285,1.0
250,32.8574302715963,35.87371,-115.22,0.0,84.28999999999999,3.0
251,4.74404154837942,45.7625,-108.4518,338.0,65.84285714285714,1.0
252,82.7127101613145,35.91634,-121.4352,5.0,78.91571428571429,3.0
255,2052.55514902427,33.39059,-110.4627,68.0,82.42571428571429,1.0
257,2.42135266045457,35.87958,-115.2119,0.0,84.28999999999999,3.0
275,18.1974956871689,44.85152,-112.1471,254.0,69.49142857142857,2.0
276,160.888984340224,31.84475,-110.7289,49.0,70.42857142857143,2.0
283,19.0534314059305,29.17363,-102.9964,13.0,92.05571428571427,9.0
289,3.51297590917925,35.83795,-115.2706,0.0,84.28999999999999,3.0
310,10.6721867977153,40.178333,-110.299444,153.0,72.42428571428572,1.0
316,14.4751302058919,45.2422,-115.5305,107.0,66.36285714285715,1.0
322,1801.72897150045,41.8067,-119.666769,336.0,63.81857142857143,1.0
326,1090.17815150159,27.13334,-97.37183,663.0,86.936,4.0
338,9.03312999061517,37.059973,-102.566814,145.0,76.87142857142858,1.0
377,269.579733452575,35.60705,-83.81931,290.0,68.05857142857143,1.0
379,9.8326453228668,44.37727,-106.6538,44.0,67.84285714285714,2.0
380,1.14868631689337,44.51284,-119.4388,148.0,68.86714285714287,2.0
386,44.2003607564101,33.30728,-110.4168,68.0,82.42571428571429,1.0
393,328619.816367547,40.12551,-123.0731,224.0,78.06428571428572,1.0
398,10.4201312808949,37.5943,-80.24779,292.0,72.07142857142857,1.0
402,530.52479001911,41.65477,-113.1956,23.0,65.78857142857143,1.0
405,21.2339387932582,43.67613,-106.649,0.0,65.78571428571429,1.0
417,1.54108793169399,37.33164,-108.4119,50.0,67.14857142857143,1.0
427,7.33197241650757,32.8919,-112.0386,3.0,93.2,9.0
439,19520.3792498104,33.16917,-110.4483,68.0,82.42571428571429,1.0
445,10.8969611980331,33.53549,-112.3048,0.0,89.57428571428571,8.0
450,157.534316168889,33.36138,-110.426,68.0,82.42571428571429,1.0
456,6065.97610186104,39.54481,-122.7428,71.0,74.70714285714287,1.0
459,4.3470326152789,42.37275,-112.4576,157.0,61.73428571428571,1.0
465,303.549350162989,46.62252,-117.3332,8.0,67.63714285714285,1.0
466,17.8847024388217,43.84427,-103.1931,26.0,63.06285714285714,1.0
468,19.3773970143454,33.36444,-110.4606,68.0,82.42571428571429,1.0
473,156.981553761569,39.08988,-105.4903,94.0,68.22428571428571,1.0
478,22.8489161497486,37.32783,-107.6449,33.0,61.78714285714285,1.0
479,4.98044260588349,39.55127,-82.05943,570.0,69.79714285714286,1.0
483,17.0791413749248,33.36674,-110.4471,68.0,82.42571428571429,1.0
485,1.36113780561445,30.36215,-84.27321,10.0,84.07142857142857,2.0
489,110.306750221571,35.8539,-115.2766,0.0,84.28999999999999,3.0
491,8.67947022876774,33.2849,-104.3738,89.0,78.72285714285715,3.0
492,3.01415500294452,35.87955,-115.2224,0.0,84.28999999999999,3.0
496,6.0876909243467,35.88097,-115.221,0.0,84.28999999999999,3.0
504,3.54290136034853,35.87959,-115.2126,0.0,84.28999999999999,3.0
506,14.9907898801022,35.80397,-115.3071,0.0,84.28999999999999,3.0
511,86.43447255415,45.21421,-120.5679,34.0,65.59714285714286,1.0
512,17.0916157492558,33.2948,-110.4318,68.0,82.42571428571429,1.0
513,190.470355544175,29.31665,-81.7909,8.0,88.4557142857143,5.0
514,7.34248609446184,43.55086,-112.5263,84.0,67.20428571428572,1.0
527,123.478491878151,33.18184,-110.5258,68.0,82.42571428571429,1.0
529,1.67898970759219,33.695575,-116.850688,82.0,76.58857142857143,3.0
535,26.7300154713883,33.04284,-112.6639,0.0,91.20714285714288,10.0
548,1562.10755985018,36.6066,-114.0622,0.0,80.92142857142858,1.0
552,5.03627037498335,48.20183,-91.73244,31.0,70.64142857142858,4.0
553,1.69410763635363,29.02908,-81.49379,364.0,88.4557142857143,5.0
560,1.98547972798961,42.33992,-114.3773,82.0,65.00571428571429,1.0
564,13.4374921184332,33.73384,-112.0055,5.0,86.0,5.0
565,8.96638566849308,41.95662,-117.7058,76.0,72.0723076923077,1.0
567,12.2584459384974,41.02042,-111.879,236.0,71.97857142857143,4.0
576,3170.08417684363,32.54438,-111.0779,0.0,83.84,3.0
590,75692.7743394801,46.84789,-120.7715,0.0,70.65,1.0
597,51.5851508385631,33.29314,-110.4482,68.0,82.42571428571429,1.0
600,223.379674057777,44.06594,-106.2697,33.0,65.78571428571429,1.0
602,8.47597769311088,39.60346,-119.8625,3.0,72.37846153846155,2.0
604,5835.80825882891,39.9202,-111.7582,120.0,69.99833333333333,1.0
621,4.8205924744932,42.97247,-120.7757,25.0,94.3076923076923,11.0
624,739.350870818176,33.38342,-110.4668,68.0,82.42571428571429,1.0
626,633.749811593305,33.574,-110.3783,51.0,75.85428571428572,2.0
633,2.46759187512217,34.15483,-94.73421,287.0,85.61428571428573,4.0
635,21443.5345789257,33.51164,-110.4002,68.0,75.85428571428572,2.0
644,1.01604251696109,35.88248,-115.2295,0.0,84.28999999999999,3.0
656,4.78239450617691,36.06559,-115.1112,0.0,83.42857142857143,2.0
662,244.166324548723,47.34037,-117.6388,61.0,67.67571428571429,1.0
668,472.154737573817,43.45068,-105.8605,0.0,71.402,2.0
670,31.0598837269791,35.81252,-115.2996,0.0,84.28999999999999,3.0
686,100.095062827852,43.24943,-115.8379,97.0,71.04428571428572,1.0
687,16.6427830753299,36.77181,-114.2397,0.0,86.21857142857142,3.0
692,11.2586535822472,33.30744,-111.2463,0.0,95.70714285714288,13.0
694,26.1373616944273,33.35889,-110.4895,68.0,82.42571428571429,1.0
696,683.198806513673,40.55244,-111.4646,51.0,73.10571428571428,4.0
698,13.702588102428,36.39274,-114.6493,13.0,87.92,4.0
706,5.5148868287542,46.86271,-112.6781,127.0,71.57000000000001,2.0
707,2.87845282880401,33.88577,-112.1698,0.0,86.0,5.0
708,2518.25546956797,31.1181,-92.56084,571.0,67.49571428571429,1.0
712,4.76224076944001,45.84135,-106.5088,69.0,72.28714285714285,4.0
727,20.8258226015178,33.3116,-110.4558,68.0,82.42571428571429,1.0
756,1.9133420696994,36.67034,-114.5217,0.0,86.21857142857142,3.0
759,86.206552111122,35.71001,-117.8398,0.0,107.13714285714286,14.0
773,1.99934229933151,35.87953,-115.2126,0.0,84.28999999999999,3.0
776,3.42545734842565,43.9805,-103.3724,405.0,78.77428571428571,1.0
797,1219.87526422926,40.08722,-122.9842,224.0,75.72428571428573,1.0
805,16.5521663600696,43.69087,-119.9853,140.0,68.07857142857144,1.0
807,7.50438706519635,36.54537,-114.1803,0.0,86.21857142857142,3.0
811,250.264301282536,45.96405,-121.2711,13.0,62.22571428571428,1.0
836,1117.88968129547,40.79274,-117.1258,126.0,77.42428571428572,2.0
845,14.3354893226975,37.21093,-113.1552,148.0,77.73285714285714,1.0
861,3052.16115021611,33.402646,-117.266795,30.0,74.31285714285715,2.0
863,1.01069222832362,35.87954,-115.2127,0.0,84.28999999999999,3.0
868,5.19349661626923,32.9303,-111.8676,3.0,93.2,9.0
871,9.29881346560136,33.76044,-112.555,20.0,89.57428571428571,8.0
872,50.7809840586208,33.77586,-109.671,25.0,70.07142857142857,2.0
888,4.96570047278971,45.77809,-106.8442,69.0,72.28714285714285,4.0
894,1.46702959364596,39.60212,-119.8073,3.0,70.59428571428572,1.0
901,541.048998782783,33.36674,-110.4471,68.0,82.42571428571429,1.0
906,8.16434302463904,45.29393,-107.4677,0.0,58.06857142857143,1.0
907,16.9726126662829,45.21666,-120.5722,34.0,65.59714285714286,1.0
909,80.3074204665872,35.22216,-96.11243,0.0,61.151428571428575,1.0
919,59.2674227077405,34.64238,-111.8057,8.0,84.77857142857144,3.0
922,22.6437191233139,46.06868,-114.3169,176.0,75.56714285714285,4.0
928,1.08457802669445,42.06956,-111.6447,406.0,74.85000000000001,3.0
930,95.6885668842208,47.95414,-118.2753,94.0,59.28428571428572,1.0
952,168.503760441164,42.69492,-113.9918,66.0,68.70428571428572,1.0
954,23.3783841229922,33.36554,-110.449,68.0,82.42571428571429,1.0
955,2.39819559974591,25.32855,-80.83278,3.0,89.85714285714286,4.0
958,615.391189044583,33.66308,-111.6971,25.0,84.18714285714286,3.0
969,4.03778384247927,40.526278,-109.957611,354.0,63.99714285714286,2.0
971,2721.43605778948,40.034034,-120.115073,0.0,72.92571428571429,1.0
973,159.20510829242,34.36507,-118.5034,13.0,75.41857142857144,2.0
974,35.3787927610881,33.3071,-110.45,68.0,82.42571428571429,1.0
980,490.050759910095,33.74078,-112.7194,20.0,90.51285714285714,8.0
981,1880.69479231994,33.889516,-117.070814,26.0,72.06285714285714,1.0
986,79.7996461618096,33.35313,-110.4496,68.0,82.42571428571429,1.0
987,60.7580036126322,44.6842,-116.1476,406.0,66.67,2.0
991,2.51065141058468,38.61534,-82.663415,315.0,74.84714285714287,2.0
1003,70.685903919049,38.81761,-112.4494,355.0,66.73857142857143,1.0
1012,29.8274580065786,46.30594,-108.8119,115.0,73.92285714285715,3.0
1023,122.06395422903,38.575917,-82.579639,591.0,74.84714285714287,2.0
1030,28062.9776662464,33.46844,-110.3106,68.0,82.42571428571429,1.0
1032,58.5646403564169,44.39672,-118.5413,232.0,67.64857142857143,3.0
1034,480.713108275887,40.59484,-110.976,202.0,66.84285714285714,2.0
1035,13.9938340866508,33.32688,-110.458,68.0,82.42571428571429,1.0
1055,1.46914259777281,39.50916,-116.449233,125.0,71.69142857142857,2.0
1060,7.28799658298965,33.919507,-117.103765,26.0,72.06285714285714,1.0
1068,18.4992229050674,32.972,-111.3477,18.0,87.764,4.0
1074,10.7378286872685,43.49386,-106.4495,77.0,46.91076923076923,1.0
1075,12.021851297342,45.07191,-109.0319,6.0,64.48,1.0
1079,5.27820431611574,35.88548,-115.2062,0.0,84.28999999999999,3.0
1081,144.781479823123,43.39939,-105.1297,58.0,56.55714285714286,2.0
1084,1.31612371176688,39.15165,-105.1343,234.0,67.84461538461538,1.0
1091,234.665324041434,39.63365,-119.9372,3.0,72.37846153846155,2.0
1092,456.797767325135,42.89963,-121.6719,76.0,66.42857142857143,1.0
1094,11.5078086965377,33.306667,-110.4235,68.0,82.42571428571429,1.0
1104,2.48263541297812,25.41881,-80.6428,1326.0,89.87,8.0
1115,1.72119185182425,32.98931,-112.6627,0.0,91.20714285714288,10.0
1117,39.0369507566219,42.11804,-104.7387,44.0,72.50428571428571,2.0
1122,19.2700624708795,36.70898,-92.86788,734.0,80.22714285714287,1.0
1128,10958.6108468948,45.8815,-107.1852,123.0,62.41285714285714,1.0
1141,2807.23356508506,33.44867,-113.2205,0.0,90.87285714285714,8.0
1148,38.9670686529455,31.09974,-92.50901,493.0,67.49571428571429,1.0
1151,3.74353581428751,29.01977,-81.55086,364.0,88.4557142857143,5.0
1159,42.4022429582081,35.16671,-96.69144,153.0,65.07142857142857,2.0
1172,20.186251091371,33.31114,-110.4501,68.0,82.42571428571429,1.0
1175,103.683390173776,33.72896,-112.4861,0.0,89.57428571428571,8.0
